NODE_3_length_8122_cov_3.458039	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	54.6	1218	418	17	718	4224	27	1158	0.0e+00	1219.1
NODE_21_length_4337_cov_2.791920	gi:494742298:ref:WP_007477706.1:|FEATURES|norB|fluoroquinolone|norB	50.0	236	118	0	1191	484	11	246	1.2e-65	248.4
NODE_347_length_1864_cov_4.767275	ABG26481|FEATURES|ermX|MLS|ermX	99.3	284	2	0	225	1076	1	284	4.5e-163	570.9
NODE_347_length_1864_cov_4.767275	ZP_03917649|FEATURES|ermX|MLS|ermX	98.9	284	3	0	225	1076	1	284	1.0e-162	569.7
NODE_347_length_1864_cov_4.767275	gi:705414424:ref:WP_033502017.1:|FEATURES|ermX|MLS|ermX	98.6	284	4	0	225	1076	1	284	6.5e-162	567.0
NODE_347_length_1864_cov_4.767275	AAK28907|FEATURES|ermX|MLS|ermX	98.6	284	4	0	225	1076	1	284	6.5e-162	567.0
NODE_347_length_1864_cov_4.767275	CAO72212|FEATURES|ermX|MLS|ermX	98.2	284	5	0	225	1076	1	284	1.1e-161	566.2
NODE_347_length_1864_cov_4.767275	gi:188593355:emb:CAO72215.1:|FEATURES|ermX|MLS|ermX	98.2	284	5	0	225	1076	1	284	1.9e-161	565.5
NODE_347_length_1864_cov_4.767275	gi:188593342:emb:CAO72206.1:|FEATURES|ermX|MLS|ermX	97.9	284	6	0	225	1076	1	284	3.2e-161	564.7
NODE_347_length_1864_cov_4.767275	NP_940746|FEATURES|ermX|MLS|ermX	96.8	284	9	0	225	1076	1	284	8.8e-159	556.6
NODE_347_length_1864_cov_4.767275	gi:1028086520:ref:WP_063844894.1:|FEATURES|ermX|MLS|ermX	93.0	284	20	0	225	1076	1	284	1.9e-153	538.9
NODE_347_length_1864_cov_4.767275	YP_251227|FEATURES|ermX|MLS|ermX	90.8	284	26	0	225	1076	1	284	4.9e-149	524.2
NODE_347_length_1864_cov_4.767275	M36726.gene.p01|FEATURES|ermX|MLS|ermX	89.8	284	29	0	225	1076	1	284	3.6e-144	508.1
NODE_347_length_1864_cov_4.767275	gi:695257004:ref:WP_032488331.1:|FEATURES|ermX|MLS|ermX	98.2	219	4	0	225	881	1	219	1.7e-122	436.0
NODE_347_length_1864_cov_4.767275	gi:695257004:ref:WP_032488331.1:|FEATURES|ermX|MLS|ermX	87.0	46	6	0	847	984	208	253	6.2e-19	92.0
NODE_347_length_1864_cov_4.767275	AAG03357.1|FEATURES|ErmX|MLS|ErmX	97.7	219	5	0	225	881	1	219	6.6e-122	434.1
NODE_347_length_1864_cov_4.767275	AAG03357.1|FEATURES|ErmX|MLS|ErmX	87.0	46	6	0	847	984	208	253	6.2e-19	92.0
NODE_347_length_1864_cov_4.767275	AY487229.1.gene4.p01|FEATURES|erm(39)|MLS|erm(39)	52.3	256	112	2	225	992	1	246	9.4e-76	280.8
NODE_347_length_1864_cov_4.767275	AF462611.1.orf0.gene.p01|FEATURES|erm(36)|MLS|erm(36)	53.3	255	116	1	225	980	1	255	1.7e-72	270.0
NODE_347_length_1864_cov_4.767275	AY154657.2.orf0.gene.p01|FEATURES|erm(38)|MLS|erm(38)	51.9	262	115	2	225	989	1	258	1.7e-72	270.0
NODE_347_length_1864_cov_4.767275	gi:500047079:ref:WP_011727797.1:|FEATURES|erm(38)|MLS|erm(38)	51.5	262	116	2	225	989	1	258	8.2e-72	267.7
NODE_347_length_1864_cov_4.767275	DQ144639.1.orf1.gene.p01|FEATURES|erm(38)|MLS|erm(38)	52.2	255	117	2	225	989	1	250	8.2e-72	267.7
